cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044443,tani_takeshi,Artist,3932,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044447,pageratta,Artist,3572,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044479,minaba_hideo,Artist,2671,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044480,kirisawa_juuzou,Artist,2669,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044488,namori,Artist,2559,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044493,kato_takuji,Artist,2489,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044504,avogado6,Artist,2396,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044516,izumi_tsubasu,Artist,2262,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044529,takeuchi_takashi,Artist,2168,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044538,nekotoufu,Artist,2088,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044539,onigirikun,Artist,2077,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044541,toosaka_asagi,Artist,2061,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044542,sayori_(neko_works),Artist,2060,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044546,yamamoto_souichirou,Artist,2036,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044559,fujima_takuya,Artist,1959,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044586,koruri,Artist,1772,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044603,ishikei,Artist,1708,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044604,piromizu,Artist,1708,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044614,shiromanta,Artist,1676,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044627,murakami_suigun,Artist,1640,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044633,asanagi,Artist,1628,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044643,satou_kuuki,Artist,1609,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044702,happoubi_jin,Artist,1458,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044723,watanabe_akio,Artist,1417,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044732,yomu_(sgt_epper),Artist,1396,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044766,yabuki_kentarou,Artist,1334,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044773,misaki_kurehito,Artist,1313,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044800,yamashita_shun'ya,Artist,1274,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044807,mikeou,Artist,1267,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044854,oyari_ashito,Artist,1208,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044860,urushihara_satoshi,Artist,1197,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044863,riichu,Artist,1195,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044884,fuzichoco,Artist,1164,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044899,haimura_kiyotaka,Artist,1153,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044964,sakurazawa_izumi,Artist,1079,REVIEWED_UNRESOLVED,INSUFFICIENT_HIGH_CONFIDENCE_OFFICIAL_EVIDENCE,,Lane 5 completed safety-first: assigned artist row was deliberately left unresolved because sufficiently strong official identity evidence was not established.
