cluster_id,cluster_rows,semantic_bucket,generation_family,general_root,identity_key,priority_band,is_general,is_special,general_primary_path,special_id,issue104_risk,reviewed_class,review_status,review_note
C001,174,OTHER,,(none),18+,P1_SPECIAL_OR_OVERLAP,NO,YES,,1694,NO,,,
C001,174,OTHER,,(none),adult_content,P1_SPECIAL_OR_OVERLAP,NO,YES,,1695,NO,,,
C001,174,OTHER,,(none),adult_toy,P1_SPECIAL_OR_OVERLAP,NO,YES,,305,NO,,,
C001,174,OTHER,,(none),xray,P1_SPECIAL_OR_OVERLAP,NO,YES,,2014,NO,,,
C002,84,GENITAL,,(none),alcohol_between_breasts,P1_SPECIAL_OR_OVERLAP,NO,YES,,2710,NO,,,
C002,84,GENITAL,,(none),anal_beads_pull,P1_SPECIAL_OR_OVERLAP,NO,YES,,1466,NO,,,
C002,84,GENITAL,,(none),anal_creampie,P1_SPECIAL_OR_OVERLAP,NO,YES,,1316,NO,,,
C002,84,GENITAL,,(none),vulva,P1_SPECIAL_OR_OVERLAP,NO,YES,,1249,NO,,,
C003,54,SEX_ACT,,(none),about_to_be_raped,P1_SPECIAL_OR_OVERLAP,NO,YES,,1351,NO,,,
C003,54,SEX_ACT,,(none),after_frottage,P1_SPECIAL_OR_OVERLAP,NO,YES,,69,NO,,,
C003,54,SEX_ACT,,(none),anal_insertion,P1_SPECIAL_OR_OVERLAP,NO,YES,,158,NO,,,
C003,54,SEX_ACT,,(none),trap_penetrating,P1_SPECIAL_OR_OVERLAP,NO,YES,,1728,NO,,,
C004,41,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,arm_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2203,NO,,,
C004,41,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,armpit_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2204,NO,,,
C004,41,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,bikini_bottom_aside,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2044,NO,,,
C004,41,EXPOSURE_CLOTHING,CLOTHING_EXPOSURE,CLOTHING_STATE_EXPOSURE,unzipped,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2062,NO,,,
