identity_key,candidate_state,reason
armpit_hold,BOUNDARY_REVIEW,body_site_x_contact_risk
ass_support,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_another's_finger,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_another's_tail,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_another's_tongue,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_ear,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_own_finger,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_own_tail,BOUNDARY_REVIEW,body_site_x_contact_risk
biting_own_tongue,BOUNDARY_REVIEW,body_site_x_contact_risk
finger_gun_to_own_head,BOUNDARY_REVIEW,body_site_x_contact_risk
finger_on_another's_head,BOUNDARY_REVIEW,body_site_x_contact_risk
finger_sucking,BOUNDARY_REVIEW,body_site_x_contact_risk
finger_to_head,BOUNDARY_REVIEW,body_site_x_contact_risk
finger_touching,BOUNDARY_REVIEW,body_site_x_contact_risk
fingers_to_head,BOUNDARY_REVIEW,body_site_x_contact_risk
foot_massage,BOUNDARY_REVIEW,body_site_x_contact_risk
foot_on_another's_head,BOUNDARY_REVIEW,body_site_x_contact_risk
four-finger_heart_hands,BOUNDARY_REVIEW,body_site_x_contact_risk
giving_wedgie,BOUNDARY_REVIEW,explicit_underwear_contact
grabbing_another's_ear,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_another's_pectorals,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_another's_tail,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_another's_tongue,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_own_flat_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_own_pectoral,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_own_tail,BOUNDARY_REVIEW,body_site_x_contact_risk
grabbing_own_thigh,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_another's_ass,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_another's_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_another's_ear,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_another's_foot,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_another's_thigh,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_own_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_own_ear,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_own_foot,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_own_tail,BOUNDARY_REVIEW,body_site_x_contact_risk
hand_on_own_thigh,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_another's_ass,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_another's_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_another's_ears,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_another's_thigh,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_another's_thighs,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_feet,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_own_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_own_feet,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_own_thigh,BOUNDARY_REVIEW,body_site_x_contact_risk
hands_on_own_thighs,BOUNDARY_REVIEW,body_site_x_contact_risk
head_on_chest,BOUNDARY_REVIEW,body_site_x_contact_risk
holding_another's_feet,BOUNDARY_REVIEW,body_site_x_contact_risk
