identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
restraints,YES,NO,OBJECT_PROP/DAILY,,,YES,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
condom_in_mouth,YES,YES,ACTION_CONTACT/INTIMATE,2986,DIRECT_COMPOSITE,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
panties_on_breasts,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
floating_breasts,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
cuffed,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES,ALREADY_SUBSTANTIVELY_COVERED,,ISSUE104_REVIEWED_RISK
excessive_saliva,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
ora_ora_get_pregnant_(meme),YES,NO,,,,YES,REJECT_NONCONTENT_REASON,REPRODUCTION_PREGNANCY,ISSUE104_REVIEWED_RISK
breasts_day,YES,NO,,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
fertilization,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,REPRODUCTION_PREGNANCY,ISSUE104_REVIEWED_RISK
plap_plap_plap_get_pregnant_(meme),YES,NO,,,,YES,REJECT_NONCONTENT_REASON,REPRODUCTION_PREGNANCY,ISSUE104_REVIEWED_RISK
cunt_punt,YES,YES,ACTION_CONTACT/INTIMATE,3063,DAMAGE_STATE_ACTION,YES,SPECIAL_CANDIDATE,FEMALE_GENITAL,ISSUE104_REVIEWED_RISK
lube_on_breasts,YES,YES,ACTION_CONTACT/INTIMATE,3069,FLUID_STATE_ACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
viewer_on_leash,YES,YES,ACTION_CONTACT/INTERACTION,3011,RESTRAINT_ACTION,YES,SPECIAL_CANDIDATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
saliva_pool,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
