identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
shoulder-to-shoulder,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
wet_fundoshi,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
cross-laced_pants,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
cross_tattoo,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
face-to-face,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
heart_bra,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
holding_polearm,YES,NO,ACTION_CONTACT/OBJECT_USE,,,NO,,,BOUNDARY_GENERAL_ONLY
tatsumaki_(cosplay),YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
ascot_between_breasts,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
buttons,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
animal_feet,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
arrow_through_heart,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
corsage,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
baby_carry,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
shorts_under_shorts,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
saiyan_armor,YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
face_to_pecs,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
tsuka_(handle),YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
crotch_plate,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
tied_sweater,YES,NO,CLOTHING_STATE_EXPOSURE,,,NO,,,BOUNDARY_GENERAL_ONLY
blue_assault_visor,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
polka_dot_scarf,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
ribbon_in_mouth,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
holding_mirror,YES,NO,ACTION_CONTACT/OBJECT_USE,,,NO,,,BOUNDARY_GENERAL_ONLY
back_pain,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
extendable_limbs,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
muscular,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
stepping_stones,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
hakusen_academy_school_uniform,YES,NO,CLOTHING/UNIFORM,,,NO,,,BOUNDARY_GENERAL_ONLY
comically_large_ears,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
plaid_armband,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
heijou_institute_school_uniform,YES,NO,CLOTHING/UNIFORM,,,NO,,,BOUNDARY_GENERAL_ONLY
diana_(pragmata)_(cosplay),YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
