identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
even_though_you_lost_your_virginity_to_me_(meme),YES,NO,,,,NO,,,UNION_FILL
twister_(game),YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
raimon,YES,NO,,,,NO,,,UNION_FILL
rpk,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
lycoris_challenge_(meme),YES,NO,,,,NO,,,UNION_FILL
obon,YES,NO,,,,NO,,,UNION_FILL
inflatable_whale,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
dragonstone,YES,NO,,,,NO,,,UNION_FILL
anal_cross-section,YES,YES,STYLE_QUALITY_META,2005,CAMERA_INTERNAL_VIEW,NO,,,UNION_FILL
wireless,YES,NO,,,,NO,,,UNION_FILL
character_doll,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
whistle,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
matchbox,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
page_tear,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
calico_m950,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
kamui_(kill_la_kill),YES,NO,,,,NO,,,UNION_FILL
aqua_umbrella,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
multiple_caterpillar_tracks,YES,NO,OBJECT_PROP/VEHICLE,,,NO,,,UNION_FILL
innie_nipples,NO,YES,,1407,,NO,,,UNION_FILL
instrument_case,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
matchlock,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
middle_w,YES,NO,,,,NO,,,UNION_FILL
insertion,NO,YES,,187,,NO,,,UNION_FILL
robot_penis,NO,YES,,1534,,NO,,,UNION_FILL
bag_behind_back,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
on_branch,YES,NO,POSE_MOVEMENT,,,NO,,,UNION_FILL
hand_saw,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
holed_coin,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
running_ganger_(meme),YES,NO,,,,NO,,,UNION_FILL
korean_fire_noodles,YES,NO,OBJECT_PROP/FOOD,,,NO,,,UNION_FILL
ship's_wheel_ornament,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
enpera,YES,NO,,,,NO,,,UNION_FILL
bullet_hole,YES,NO,,,,NO,,,UNION_FILL
house_of_cards,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
mmo_threesome,NO,YES,,252,,NO,,,UNION_FILL
shield_wall,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
cz_75,YES,NO,OBJECT_PROP/WEAPON,,,NO,,,UNION_FILL
see-through_curtains,YES,NO,OBJECT_PROP/DAILY,,,NO,,,UNION_FILL
