identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
button_eyes,YES,NO,HAIR_FACE,,,NO,,,ORDINARY_GENERAL_CONTROL
character_watermark,YES,NO,TEXT_SYMBOL/TEXT,,,NO,,,ORDINARY_GENERAL_CONTROL
dressed_shadow_(meme),YES,NO,STYLE_QUALITY_META,,,NO,,,ORDINARY_GENERAL_CONTROL
yellow_leaf,YES,NO,LIVING_NATURE/PLANT,,,NO,,,ORDINARY_GENERAL_CONTROL
polish_text,YES,NO,TEXT_SYMBOL/TEXT,,,NO,,,ORDINARY_GENERAL_CONTROL
phone_light,YES,NO,LIGHT_TIME_WEATHER,,,NO,,,ORDINARY_GENERAL_CONTROL
baluster,YES,NO,PLACE_BACKGROUND,,,NO,,,ORDINARY_GENERAL_CONTROL
anglerfish_boy,YES,NO,PERSON_COUNT,,,NO,,,ORDINARY_GENERAL_CONTROL
horror_(theme),YES,NO,STYLE_QUALITY_META,,,NO,,,ORDINARY_GENERAL_CONTROL
good_boy_(phrase),YES,NO,TEXT_SYMBOL/TEXT,,,NO,,,ORDINARY_GENERAL_CONTROL
lizardman,YES,NO,LIVING_NATURE/CREATURE,,,NO,,,ORDINARY_GENERAL_CONTROL
voice_actor_connection,YES,NO,STYLE_QUALITY_META,,,NO,,,ORDINARY_GENERAL_CONTROL
location_name,YES,NO,TEXT_SYMBOL/TEXT,,,NO,,,ORDINARY_GENERAL_CONTROL
rhinoceros_girl,YES,NO,PERSON_COUNT,,,NO,,,ORDINARY_GENERAL_CONTROL
grand_servant_(fate/grand_order),YES,NO,PERSON_COUNT,,,NO,,,ORDINARY_GENERAL_CONTROL
rose_window,YES,NO,PLACE_BACKGROUND,,,NO,,,ORDINARY_GENERAL_CONTROL
2001,YES,NO,LIGHT_TIME_WEATHER,,,NO,,,ORDINARY_GENERAL_CONTROL
sixteenth_rest,YES,NO,TEXT_SYMBOL/SYMBOL,,,NO,,,ORDINARY_GENERAL_CONTROL
zooming_in,YES,NO,COMPOSITION_CAMERA,,,NO,,,ORDINARY_GENERAL_CONTROL
ice_flower,YES,NO,LIVING_NATURE/PLANT,,,NO,,,ORDINARY_GENERAL_CONTROL
fixed-point_camera,YES,NO,COMPOSITION_CAMERA,,,NO,,,ORDINARY_GENERAL_CONTROL
braided_bun,YES,NO,HAIR_FACE,,,NO,,,ORDINARY_GENERAL_CONTROL
