identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
breasts_on_shoulders,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
chain_between_breasts,YES,NO,CLOTHING/ACCESSORY,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
extra_breasts,YES,YES,BODY_PART,3030,BODY_ATTRIBUTE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
bleeding_heart_(flower),YES,NO,LIVING_NATURE/PLANT,,,YES,REJECT_NONCONTENT_REASON,R18G_INJURY,ISSUE104_REVIEWED_RISK
kissing_breast,YES,YES,ACTION_CONTACT/INTERACTION,3058,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
small_breasts,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
drooling_blood,YES,NO,EXPRESSION_EMOTION,,,YES,GENERAL_ONLY_APPROPRIATE,FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
mole_on_areola,YES,YES,BODY_PART,3043,BODY_ATTRIBUTE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
chain_leash,YES,NO,OBJECT_PROP,,,YES,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
smelly_armpits,YES,YES,BODY_PART,3035,BODY_STATE,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
armless_amputee,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,ISSUE104_REVIEWED_RISK
breast_reduction,YES,YES,BODY_PART,3064,BODY_STATE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
towel_around_breasts,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
intestine_clothing,YES,YES,CLOTHING/COSTUME,3047,DAMAGE_STATE_ACTION,YES,SPECIAL_CANDIDATE,R18G_INJURY,ISSUE104_REVIEWED_RISK
book_on_breasts,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
yuri_(object),YES,NO,,,,YES,REJECT_NONCONTENT_REASON,OPAQUE_ADULT_SURFACE,ISSUE104_REVIEWED_RISK
powerful_breasts,YES,YES,BODY_PART,3037,BODY_STATE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
neckerchief_between_breasts,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
saliva_trail_between_teeth,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
male_underwear_aside,YES,YES,CLOTHING_STATE_EXPOSURE,3022,CLOTHING_EXPOSURE,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
rope_around_neck,YES,YES,COLOR_APPEARANCE,3018,RESTRAINT_IMPLEMENT,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
colored_saliva,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
presenting_own_armpit,YES,YES,POSE_MOVEMENT,2984,POSE_COMPOSITION,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
food_on_breasts,YES,NO,ACTION_CONTACT/OBJECT_USE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
buttjob_over_clothes,YES,YES,ACTION_CONTACT/INTIMATE,3016,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,SEX_ACT_RELATION,ISSUE104_REVIEWED_RISK
holding_handcuffs,YES,NO,ACTION_CONTACT/OBJECT_USE,,,YES,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
breast_pocket,YES,NO,CLOTHING/ACCESSORY,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
seatbelt_between_breasts,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
twisted_breasts,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
finger_between_breasts,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
cream_on_breasts,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
condom_thigh_strap,YES,YES,CLOTHING/ACCESSORY,3019,IMPLEMENT_OBJECT,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
bound_thighs,YES,YES,ACTION_CONTACT/INTERACTION,1907,RESTRAINT_ACTION,NO,,,BOUNDARY_OVERLAP
implied_pregnancy,YES,YES,BODY_PART,2873,BODY_STATE,NO,,,BOUNDARY_OVERLAP
