identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
penis_growth,YES,YES,BODY_PART,1057,BODY_ATTRIBUTE,NO,,,BOUNDARY_OVERLAP
implied_breast_milk,YES,YES,BODY_PART,2955,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
bare_legs,YES,YES,CLOTHING_STATE_EXPOSURE,2209,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
zoophilia,YES,YES,ACTION_CONTACT/INTIMATE,496,NONHUMAN_INTERACTION,NO,,,BOUNDARY_OVERLAP
open_skirt,YES,YES,CLOTHING_STATE_EXPOSURE,2235,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
crotch_stomping,YES,YES,CLOTHING/ACCESSORY,1968,RESTRAINT_ACTION,NO,,,BOUNDARY_OVERLAP
irrumatio,YES,YES,ACTION_CONTACT/INTIMATE,106,ACTION_INTERACTION,NO,,,BOUNDARY_OVERLAP
reverse_cowgirl_position,YES,YES,ACTION_CONTACT/INTIMATE,124,POSE_COMPOSITION,NO,,,BOUNDARY_OVERLAP
corpse,YES,YES,BODY_PART,1772,DAMAGE_STATE_ACTION,NO,,,BOUNDARY_OVERLAP
sybian,YES,YES,ACTION_CONTACT/INTIMATE,313,MACHINE_STRUCTURED,NO,,,BOUNDARY_OVERLAP
no_blindfold,YES,YES,CLOTHING_STATE_EXPOSURE,2398,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
riding_crop,YES,YES,OBJECT_PROP/DAILY,1836,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
naked_ascot,YES,YES,CLOTHING_STATE_EXPOSURE,2445,,NO,,,BOUNDARY_OVERLAP
gold_pasties,YES,YES,CLOTHING/EVERYDAY,2460,,NO,,,BOUNDARY_OVERLAP
crotchless_leotard,YES,YES,CLOTHING_STATE_EXPOSURE,2091,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
penis_and_testicles_touching,YES,YES,BODY_PART,957,DIRECT_COMPOSITE,NO,,,BOUNDARY_OVERLAP
imminent_vomiting,YES,YES,ACTION_CONTACT/INTERACTION,2481,CONTEXT_MODIFIER,NO,,,BOUNDARY_OVERLAP
blindfold_pull,YES,YES,CLOTHING_STATE_EXPOSURE,2492,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
hand_gagged,YES,YES,ACTION_CONTACT/INTERACTION,2437,,NO,,,BOUNDARY_OVERLAP
groping,YES,YES,ACTION_CONTACT/INTERACTION,35,ACTION_INTERACTION,NO,,,BOUNDARY_OVERLAP
testicle_hair,YES,YES,BODY_PART,965,,NO,,,BOUNDARY_OVERLAP
blindfold_lift,YES,YES,CLOTHING_STATE_EXPOSURE,2415,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
pants_rolled_up,YES,YES,CLOTHING_STATE_EXPOSURE,2312,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
ahegao,YES,YES,EXPRESSION_EMOTION,647,REACTION_STATE,NO,,,BOUNDARY_OVERLAP
puckered_anus,YES,YES,BODY_PART,757,BODY_ATTRIBUTE,NO,,,BOUNDARY_OVERLAP
blood_on_breasts,YES,YES,BODY_PART,2864,DAMAGE_STATE_ACTION,NO,,,BOUNDARY_OVERLAP
naked_shoes,YES,YES,CLOTHING_STATE_EXPOSURE,2392,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
futa_with_female,YES,YES,ACTION_CONTACT/INTIMATE,2341,RELATION_ROLE_CONTEXT,NO,,,BOUNDARY_OVERLAP
female_ejaculation,YES,YES,ACTION_CONTACT/INTIMATE,556,FLUID_STATE_ACTION,NO,,,BOUNDARY_OVERLAP
crotch_kick,YES,YES,ACTION_CONTACT/INTIMATE,1963,RESTRAINT_ACTION,NO,,,BOUNDARY_OVERLAP
framed_crotch,YES,YES,STYLE_QUALITY_META,2976,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
green_penis,YES,YES,BODY_PART,924,,NO,,,BOUNDARY_OVERLAP
penis_on_cheek,YES,YES,ACTION_CONTACT/INTIMATE,1026,DIRECT_COMPOSITE,NO,,,BOUNDARY_OVERLAP
holding_blindfold,YES,YES,ACTION_CONTACT/OBJECT_USE,2471,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
imminent_peeing,YES,YES,ACTION_CONTACT/INTERACTION,1991,CONTEXT_MODIFIER,NO,,,BOUNDARY_OVERLAP
after_handjob,YES,YES,ACTION_CONTACT/INTIMATE,900,CONTEXT_MODIFIER,NO,,,BOUNDARY_OVERLAP
mole_on_pussy,YES,YES,BODY_PART,791,DIRECT_COMPOSITE,NO,,,BOUNDARY_OVERLAP
huge_nipples,YES,YES,BODY_PART,740,BODY_ATTRIBUTE,NO,,,BOUNDARY_OVERLAP
scar_on_breast,YES,YES,BODY_PART,2880,BODY_STATE,NO,,,BOUNDARY_OVERLAP
caning,YES,YES,ACTION_CONTACT/INTERACTION,2736,,NO,,,BOUNDARY_OVERLAP
penis_rest,YES,YES,ACTION_CONTACT/INTIMATE,966,,NO,,,BOUNDARY_OVERLAP
back_cutout,YES,YES,CLOTHING_STATE_EXPOSURE,2205,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
condom_left_inside,YES,YES,ACTION_CONTACT/INTIMATE,2144,IMPLEMENT_OBJECT,NO,,,BOUNDARY_OVERLAP
race_fetishism_symbol,YES,YES,TEXT_SYMBOL/SYMBOL,2520,RELATION_ROLE_CONTEXT,NO,,,BOUNDARY_OVERLAP
mole_under_breast,YES,YES,BODY_PART,2932,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
triple_anal,YES,YES,ACTION_CONTACT/INTIMATE,154,INSERTION_STRUCTURED,NO,,,BOUNDARY_OVERLAP
mismatched_pasties,YES,YES,CLOTHING/EVERYDAY,2461,,NO,,,BOUNDARY_OVERLAP
garter_belt,YES,YES,CLOTHING/ACCESSORY,2100,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
underboob,YES,YES,BODY_PART,2174,BODY_ATTRIBUTE,NO,,,BOUNDARY_OVERLAP
tape_gag,YES,YES,CLOTHING/ACCESSORY,1841,RESTRAINT_IMPLEMENT,NO,,,BOUNDARY_OVERLAP
backless_panties,YES,YES,CLOTHING_STATE_EXPOSURE,2074,CLOTHING_EXPOSURE,NO,,,BOUNDARY_OVERLAP
cleavage,YES,YES,BODY_PART,2171,BODY_ATTRIBUTE,NO,,,BOUNDARY_OVERLAP
lace-trimmed_jacket,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
red_garter,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
bubble_skirt,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
white_jersey,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
torn_belt,YES,NO,CLOTHING_STATE_EXPOSURE,,,NO,,,BOUNDARY_GENERAL_ONLY
crystal_earrings,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
silver_boots,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
fur-trimmed_skirt,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
purple-tinted_eyewear,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
no_(gesture),YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
singing,YES,NO,ACTION_CONTACT/INTERACTION,,,NO,,,BOUNDARY_GENERAL_ONLY
tied_tank_top,YES,NO,CLOTHING_STATE_EXPOSURE,,,NO,,,BOUNDARY_GENERAL_ONLY
purple_cardigan,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
mechanical_dress,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
armored_corset,YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
miko,YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
single_bare_arm,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
sonobeno_high_school_uniform,YES,NO,CLOTHING/UNIFORM,,,NO,,,BOUNDARY_GENERAL_ONLY
hooded_shrug,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
tight_shirt,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
sneaking_suit,YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
top_hat,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
gauze_on_arm,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
green_horns,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
upper_body,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
fur-trimmed_shoes,YES,NO,CLOTHING/EVERYDAY,,,NO,,,BOUNDARY_GENERAL_ONLY
holding_stuffed_toy,YES,NO,ACTION_CONTACT/OBJECT_USE,,,NO,,,BOUNDARY_GENERAL_ONLY
triceps,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
shinra_infantry_uniform,YES,NO,CLOTHING/UNIFORM,,,NO,,,BOUNDARY_GENERAL_ONLY
shishio_makoto_(cosplay),YES,NO,CLOTHING/COSTUME,,,NO,,,BOUNDARY_GENERAL_ONLY
skeletal_tail,YES,NO,BODY_PART,,,NO,,,BOUNDARY_GENERAL_ONLY
hairclip,YES,NO,CLOTHING/ACCESSORY,,,NO,,,BOUNDARY_GENERAL_ONLY
