subject_type,subject_key,relation_type,object_key,authority_type,evidence_basis,source_url,source_claim,review_state,source_provenance,migration_class
Family,#compass,FAMILY_HOME,#compass,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '#compass' equals the unique in-catalog Copyright root '#compass'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=#compass; candidate_root_hint=#compass; state=PASS,SAFE_TO_MIGRATE
Family,.flow,FAMILY_HOME,.flow,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '.flow' equals the unique in-catalog Copyright root '.flow'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=.flow; candidate_root_hint=.flow; state=PASS,SAFE_TO_MIGRATE
Family,.hack//,FAMILY_HOME,.hack//,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '.hack//' equals the unique in-catalog Copyright root '.hack//'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=.hack//; candidate_root_hint=.hack//; state=PASS,SAFE_TO_MIGRATE
Family,.live,FAMILY_HOME,.live,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '.live' equals the unique in-catalog Copyright root '.live'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=.live; candidate_root_hint=.live; state=PASS,SAFE_TO_MIGRATE
Family,16personalities,FAMILY_HOME,16personalities,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '16personalities' equals the unique in-catalog Copyright root '16personalities'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=16personalities; candidate_root_hint=16personalities; state=PASS,SAFE_TO_MIGRATE
Family,1hp_club,FAMILY_HOME,1hp_club,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '1hp_club' equals the unique in-catalog Copyright root '1hp_club'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=1hp_club; candidate_root_hint=1hp_club; state=PASS,SAFE_TO_MIGRATE
Family,2.5_jigen_no_ririsa,FAMILY_HOME,2.5_jigen_no_ririsa,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '2.5_jigen_no_ririsa' equals the unique in-catalog Copyright root '2.5_jigen_no_ririsa'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=2.5_jigen_no_ririsa; candidate_root_hint=2.5_jigen_no_ririsa; state=PASS,SAFE_TO_MIGRATE
Family,22/7,FAMILY_HOME,22/7,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '22/7' equals the unique in-catalog Copyright root '22/7'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=22/7; candidate_root_hint=22/7; state=PASS,SAFE_TO_MIGRATE
Family,4chan,FAMILY_HOME,4chan,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '4chan' equals the unique in-catalog Copyright root '4chan'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=4chan; candidate_root_hint=4chan; state=PASS,SAFE_TO_MIGRATE
Family,7th_dragon,FAMILY_HOME,7th_dragon,EXACT_COPYRIGHT_REVIEWED,REVIEWED_QUALIFIER_COPYRIGHT,,Second-reviewed Issue #180 exact qualifier review: family key '7th_dragon' equals the unique in-catalog Copyright root '7th_dragon'; candidate_authority=EXACT_QUALIFIER_EQUALS_COPYRIGHT_TAG.,VALIDATED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; second-review=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; key=7th_dragon; candidate_root_hint=7th_dragon; state=PASS,SAFE_TO_MIGRATE
