identity_key,boundary_reason,candidate_state
a-line_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
adidas,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
air_jordan,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
air_jordan_1,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
air_max,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
alternate_bottom_wear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
alternate_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
alternate_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
alternate_skirt_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
alternate_sleeve_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_neckwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
american_flag_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
animal-themed_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
animal_ear_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
animal_ear_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
animal_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
animal_slippers,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
ankle_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
ankle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
ao_dai,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aoqun,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_buruma,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_camisole,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_cape,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_capelet,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_cardigan,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_cloak,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_hanfu,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_haori,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_hoodie,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_kimono,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_leg_warmers,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_overalls,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_pajamas,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_robe,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_sandals,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_sarong,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_shorts,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_shrug,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_suit,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_tank_top,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_tunic,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aqua_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aran_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
aran_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_cape,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_cardigan,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_cloak,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_kimono,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
argyle_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_3
