row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note,reviewed_unresolved,review_count,last_review_cycle,last_review_reason
I70-040829,musekinin_shuugoutai_(synthesizer_v),Copyright,126,無責任集合体,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040847,gwent_(game),Copyright,125,グウェント ウィッチャーカードゲーム,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040852,kirby's_dream_land,Copyright,125,星のカービィ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040857,orguss,Copyright,125,超時空世紀オーガス,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040861,robin_hood_(disney_movie),Copyright,125,ロビン・フッド,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040870,ghost_in_the_shell:_sac_2045,Copyright,124,攻殻機動隊 SAC_2045,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040888,300_(movie),Copyright,123,300〈スリーハンドレッド〉,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040895,huayangshan_jishi,Copyright,123,华阳山记事,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-040903,serial_experiments_lain_(ps1_game),Copyright,123,serial experiments lain,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040918,hua_jianghu_zhi_bei_mo_ting,Copyright,122,画江湖,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-040949,metroid_(classic),Copyright,121,メトロイド,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040952,sergestid_shrimp_in_tungkang,Copyright,121,初夏的東港之櫻,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-040976,silent_hill_1,Copyright,120,サイレントヒル,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-040979,wild_flower,Copyright,120,野生の花,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-040999,magna_carta,Copyright,119,マグナカルタ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-041043,mega_man_battle_network_(anime),Copyright,117,ロックマンエグゼ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-041069,ji_peng_gou_you,Copyright,116,雪山游泳馆,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-041074,pocahontas_(movie),Copyright,116,ポカホンタス,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
