identity_key,candidate_state,risk_flags
belly_press,BOUNDARY_REVIEW,body_site_x_contact_or_display
chest_on_pillow,BOUNDARY_REVIEW,body_site_x_contact_or_display
chocolate_on_ass,BOUNDARY_REVIEW,substance_on_body_site
chocolate_on_legs,BOUNDARY_REVIEW,substance_on_body_site
chocolate_on_pectorals,BOUNDARY_REVIEW,substance_on_body_site
feet_in_food,BOUNDARY_REVIEW,substance_on_body_site
finger_in_own_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
finger_to_another's_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
finger_to_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
fingers_to_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
foot_kabedon,BOUNDARY_REVIEW,body_site_x_contact_or_display|foot_kabedon_boundary
hand_in_another's_pantyhose,BOUNDARY_REVIEW,undergarment_inside_or_manipulation
hand_in_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_in_own_pantyhose,BOUNDARY_REVIEW,undergarment_inside_or_manipulation
hand_in_pantyhose,BOUNDARY_REVIEW,undergarment_inside_or_manipulation
hand_on_another's_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_another's_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_another's_nape,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_hip,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_neck,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_opposite_hip,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_on_own_stomach,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_over_another's_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_over_own_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
hand_to_own_mouth,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_another's_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_another's_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_another's_legs,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_hips,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_legs,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_neck,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_on_own_stomach,BOUNDARY_REVIEW,body_site_x_contact_or_display
hands_under_legs,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_another's_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_another's_legs,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_another's_waist,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_another's_wrist,BOUNDARY_REVIEW,restraint_like_wrist_holding
holding_another's_wrists,BOUNDARY_REVIEW,restraint_like_wrist_holding
holding_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_behind_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_behind_neck,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_belly,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_own_leg,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_stomach,BOUNDARY_REVIEW,body_site_x_contact_or_display
holding_waist,BOUNDARY_REVIEW,body_site_x_contact_or_display
implied_hetero,BOUNDARY_REVIEW,relationship_sexual_context_cue
licking_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
licking_lips,BOUNDARY_REVIEW,body_site_x_contact_or_display
licking_stomach,BOUNDARY_REVIEW,body_site_x_contact_or_display
mouth_hold,BOUNDARY_REVIEW,body_site_x_contact_or_display
navel_poke,BOUNDARY_REVIEW,body_site_x_contact_or_display
neck_hold,BOUNDARY_REVIEW,body_site_x_contact_or_display
pectoral_pillow,BOUNDARY_REVIEW,body_site_x_contact_or_display
poking_ass,BOUNDARY_REVIEW,body_site_x_contact_or_display
poking_belly,BOUNDARY_REVIEW,body_site_x_contact_or_display
rubbing_neck,BOUNDARY_REVIEW,body_site_x_contact_or_display
touching_another's_back,BOUNDARY_REVIEW,body_site_x_contact_or_display
