canonical,display_ja,search_ja,priority_class,final_state,route,reason,risk_class
!,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_TRUE_EXCEPTION,TRUE_ORIGINAL_FORM_EXCEPTION:SYMBOL_OR_EMOTICON,EXCEPTION
...,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
1boy,少年,少年,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
1girl,少女,少女,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
1other,その他の,その他の,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
2boys,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
2girls,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
3boys,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
3girls,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
4girls,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
4koma,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
5girls,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
6+girls,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
:3,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
:<,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
:d,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
:o,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_COLLISION_FALLBACK,SEMANTIC_COLLISION_UNRESOLVED,EXCEPTION
:p,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
;d,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_TRUE_EXCEPTION,TRUE_ORIGINAL_FORM_EXCEPTION:SYMBOL_OR_EMOTICON,EXCEPTION
>_<,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
?,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
@_@,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
^^^,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_TRUE_EXCEPTION,TRUE_ORIGINAL_FORM_EXCEPTION:SYMBOL_OR_EMOTICON,EXCEPTION
^_^,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
abs,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
adapted_costume,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
aged_down,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
ahoge,アホ毛,アホ毛,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
all_fours,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
alternate_breast_size_(larger),,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
alternate_costume,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
alternate_hairstyle,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anal,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anal_ball_wear,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anal_beads,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anal_object_insertion,肛門への物体挿入,肛門への物体挿入,P0,JA_ACCEPT_STRICT,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,HIGH
anal_tail,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
androgynous,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
android,アンドロイド,アンドロイド,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
angel_wings,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anger_vein,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
angry,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
animal,動物,動物,P0,JA_ACCEPT_MACHINE,V2_RESOLVED_VERIFIED,V2_SEMANTIC_VERIFIER_PASS,LOW
animal_ear_fluff,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
animal_ears,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
animal_print,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
anime_coloring,,,P0,ENGLISH_FALLBACK_EXCEPTION,V2_SEMANTIC_FALLBACK,EVIDENCE_UNRESOLVED_FALLBACK,EXCEPTION
