identity_key,primary_path,general_status,general_confidence
#unicus_(idolmaster),PERSON_COUNT,PROPOSED,MEDIUM
0th_generation_(hololive),PERSON_COUNT,PROPOSED,MEDIUM
1boy,PERSON_COUNT,PROPOSED,HIGH
1girl,PERSON_COUNT,PROPOSED,HIGH
1other,PERSON_COUNT,PROPOSED,HIGH
1st_generation_(hololive),PERSON_COUNT,PROPOSED,MEDIUM
25-ji_nightcord_de._(project_sekai),PERSON_COUNT,PROPOSED,MEDIUM
2boys,PERSON_COUNT,PROPOSED,HIGH
2girls,PERSON_COUNT,PROPOSED,HIGH
2nd_generation_(hololive),PERSON_COUNT,PROPOSED,MEDIUM
2others,PERSON_COUNT,PROPOSED,HIGH
3boys,PERSON_COUNT,PROPOSED,HIGH
3girls,PERSON_COUNT,PROPOSED,HIGH
3others,PERSON_COUNT,PROPOSED,HIGH
404_(girls'_frontline),PERSON_COUNT,PROPOSED,MEDIUM
4boys,PERSON_COUNT,PROPOSED,HIGH
4girls,PERSON_COUNT,PROPOSED,HIGH
4others,PERSON_COUNT,PROPOSED,HIGH
501st_joint_fighter_wing,PERSON_COUNT,PROPOSED,MEDIUM
502nd_joint_fighter_wing,PERSON_COUNT,PROPOSED,MEDIUM
5boys,PERSON_COUNT,PROPOSED,HIGH
5girls,PERSON_COUNT,PROPOSED,HIGH
5others,PERSON_COUNT,PROPOSED,HIGH
6+boys,PERSON_COUNT,PROPOSED,HIGH
6+girls,PERSON_COUNT,PROPOSED,HIGH
6+others,PERSON_COUNT,PROPOSED,HIGH
777_(nikke),PERSON_COUNT,PROPOSED,MEDIUM
a-10_thunderbolt_ii,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
a-rise,PERSON_COUNT,PROPOSED,MEDIUM
a5m,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
a6m_zero,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
a7m_reppuu,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
a_certain_high_school_gym_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
a_certain_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
absolute_(nikke),PERSON_COUNT,PROPOSED,MEDIUM
absolutely_everyone,PERSON_COUNT,PROPOSED,MEDIUM
abydos_high_school_swimsuit,CLOTHING/UNIFORM,PROPOSED,HIGH
abyssal_ship,PERSON_COUNT,PROPOSED,MEDIUM
achiga_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
actor,PERSON_COUNT,PROPOSED,MEDIUM
actor_connection,PERSON_COUNT,PROPOSED,MEDIUM
actress,PERSON_COUNT,PROPOSED,MEDIUM
adapted_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
adoptive_parent_and_adoptive_child,PERSON_COUNT,PROPOSED,MEDIUM
adoptive_siblings,PERSON_COUNT,PROPOSED,MEDIUM
advanced_nurturing_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
advanced_ship_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
aegis_(nikke),PERSON_COUNT,PROPOSED,MEDIUM
aether_foundation_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aeug,PERSON_COUNT,PROPOSED,MEDIUM
affectionate_harem,PERSON_COUNT,PROPOSED,MEDIUM
afrika_korps,PERSON_COUNT,PROPOSED,MEDIUM
after-school_sweets_club_(blue_archive),PERSON_COUNT,PROPOSED,MEDIUM
afterglow_(bang_dream!),PERSON_COUNT,PROPOSED,MEDIUM
age_difference,PERSON_COUNT,PROPOSED,HIGH
agejo_gyaru,PERSON_COUNT,PROPOSED,MEDIUM
ags_(last_origin),PERSON_COUNT,PROPOSED,MEDIUM
ah-1_cobra,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
ah-64_apache,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
ahnenerbe_shop_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aihara_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
ainu,PERSON_COUNT,PROPOSED,MEDIUM
aircraft,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
aircraft_marshaller,PERSON_COUNT,PROPOSED,MEDIUM
airplane,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
airplane_wing,OBJECT_PROP/VEHICLE,PROPOSED,MEDIUM
airship,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
akademeia_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
akademiya_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
akatsuki_(ensemble_stars!),PERSON_COUNT,PROPOSED,MEDIUM
akatsuki_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
akiha_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
alchemist,PERSON_COUNT,PROPOSED,HIGH
alfa_romeo,OBJECT_PROP/VEHICLE,PROPOSED,MEDIUM
alien,PERSON_COUNT,PROPOSED,MEDIUM
all-terrain_vehicle,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
alpaca_girl,PERSON_COUNT,PROPOSED,HIGH
alpha_legion,PERSON_COUNT,PROPOSED,MEDIUM
alpine_(carmaker),OBJECT_PROP/VEHICLE,PROPOSED,MEDIUM
alstroemeria_(idolmaster),PERSON_COUNT,PROPOSED,MEDIUM
alter_servant,PERSON_COUNT,PROPOSED,MEDIUM
alternate_(the_mandela_catalogue),PERSON_COUNT,PROPOSED,MEDIUM
alternate_species,PERSON_COUNT,PROPOSED,MEDIUM
alvis_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
alzano_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
ama_usa_an_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
amanogawa_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
amarr_empire_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,MEDIUM
amazon_warrior,PERSON_COUNT,PROPOSED,HIGH
amazons_quartet,PERSON_COUNT,PROPOSED,HIGH
ambiguous_gender,PERSON_COUNT,PROPOSED,MEDIUM
ambulance,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
ame_no_kisaki_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
amekaji_gyaru,PERSON_COUNT,PROPOSED,MEDIUM
american_football_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
amestris_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
amesuku_gyaru,PERSON_COUNT,PROPOSED,MEDIUM
ancestor_and_descendant,PERSON_COUNT,PROPOSED,HIGH
ancient_dark,PERSON_COUNT,PROPOSED,MEDIUM
