cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
GENERAL_ONLY|(none)|NONE,2237,GENERAL_ONLY,(none),(none),(none),NONE,12_billion_yen_incident;15-nin_no_richiteki_na_megane-tachi;2024_pokemon_teraleak;2_fuel_4_ammo_11_steel;4th_live_dream_~bloom_the_dream_believers~;6th_live_dream_~bloom_garden_party~;9/11;affliction_(darkest_dungeon);after_time_valentine_2026;akatsuhara_empire;akg;alternate_element
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|NONE,795,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),NONE,accidental_pervert;accidental_touch;adjusting_another's_clothes;adjusting_another's_eyewear;adjusting_another's_hair;adjusting_buruma;adjusting_hair;adjusting_hair_ornament;adjusting_neck_ribbon;adjusting_shorts;adjusting_skirt;animal_around_neck
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,633,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),NONE,abs_peek;accidental_exposure;apron_aside;apron_lift;arm_out_of_sleeve;back_peek;back_slit;bandeau_lift;bandeau_pull;bare_hips;bare_pectorals;bare_shoulders
GENERAL_ONLY|BODY_PART|ANATOMY,17,GENERAL_ONLY,BODY_PART,BODY_PART,(none),ANATOMY,aqua_pubic_hair;between_breasts;black_pubic_hair;blonde_pubic_hair;blue_pubic_hair;brown_pubic_hair;landing_strip_pubic_hair;multicolored_pubic_hair;non-pubic_inmon;penis_envy;pink_pubic_hair;pubic_feathers
SPECIAL_ONLY|(none)|(none)|NONE,17,SPECIAL_ONLY,(none),(none),(none),NONE,cock-tail;coming;dickhead;dp;explicit;hardcore;insert;load;milking_device;mushikan;nosejob;oneshota
GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,10,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),SEXUALIZED_CLOTHING,bikini_armor;cover_bikini_girl_(gta_vi)_(cosplay);maid_one-piece_swimsuit;male_playboy_bunny;nontraditional_playboy_bunny;playboy_bunny;playboy_bunny_swimsuit;playboy_bunny_vest;tactical_playboy_bunny;tailcoat_playboy_bunny
OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,10,OVERLAP,BODY_PART,BODY_PART,DAMAGE_STATE_ACTION,NONE,bleeding;death;disembowelment;dismemberment;headless;intestines;mutilation;organs;severed_head;severed_limb
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,10,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,CLOTHING_EXPOSURE,NONE,babydoll;bitchsuit;camisole;diaper;gimp_mask;hip_vent;micro_shorts;nightgown;off_shoulder;strapless_bottom
OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,10,OVERLAP,OBJECT_PROP,OBJECT_PROP,IMPLEMENT_OBJECT,NONE,aneros;aphrodisiac;butt_plug;catheter;heart_butt_plug;hitachi_magic_wand;jewel_butt_plug;lotion;lotion_bottle;prostate_massager
OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,10,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,POSE_COMPOSITION,NONE,bent_over;legs_over_head;legs_up;on_side;presenting_own_body;spread_eagle_position;spread_legs;squatting_cowgirl_position;upright_straddle;uterus_pose
OVERLAP|BODY_PART|(none)|NONE,9,OVERLAP,BODY_PART,BODY_PART,(none),NONE,between_labia;dark_labia;glans;hymen;long_labia;precum_pool;shibari_marks;squirting_liquid;surprise_deepthroat
OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,9,OVERLAP,BODY_PART,BODY_PART,FLUID_STATE_ACTION,NONE,fart;pee;pee_puddle;pee_stain;poop;precum;precum_drip;precum_string;saliva
OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,9,OVERLAP,BODY_PART,BODY_PART,NONHUMAN_INTERACTION,NONE,eyed_tentacle;mechanical_tentacles;mouth_tentacles;tentacle_legs;tentacle_tail;tentacle_tongue;tentacles;tentacles_as_hands;veiny_tentacles
OVERLAP|CLOTHING|(none)|ANATOMY,9,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),ANATOMY,nipple_bells;nipple_jewelry;nipple_ribbon;nipple_sleeves;penis-shaped_jewelry;penis_earrings;penis_ornament;penis_ribbon;pussy_jewelry
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,9,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,blindfold;bondage_outfit;colored_blindfold;gag_chinstrap;lace-trimmed_blindfold;linked_gag;over_the_mouth_gag;over_the_nose_gag;wiffle_gag
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,8,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,adjusting_bra;adjusting_panties;bra_on_head;hand_in_bra;hand_in_own_bra;hand_in_own_panties;hand_in_underwear;panties_cat's_cradle
GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,8,GENERAL_ONLY,BODY_PART,BODY_PART,(none),SEXUALIZED_CLOTHING,bikini_tan;corset_piercing;see-through_body;see-through_horns;see-through_tail;slingshot_tan;transparent_hand;transparent_wings
GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,8,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,fishnet_bra;fishnet_panties;latex_bra;latex_panties;see-through_panties;see-through_sports_bra;see-through_underwear;thong_panties
OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,8,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,MULTI_ACTOR_INTERACTION,NONE,cooperative_pussyjob;gangbang;male_spitroast;oral_sandwich;orgy;reverse_spitroast;spitroast;teamwork_(sexual)
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|RESTRAINT_FETISH,8,OVERLAP,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,RESTRAINT_ACTION,RESTRAINT_FETISH,applying_gag;bondage;holding_gag;predicament_bondage;public_bondage;rope_walking;self_bondage;stealth_bondage
OVERLAP|ACTION_CONTACT|SCENE_CONTEXT|NONE,8,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,SCENE_CONTEXT,NONE,caught;exhibitionism;glory_hole;nantaimori;nyotaimori;public_indecency;public_use;voyeurism
SPECIAL_ONLY|(none)|(none)|SEXUALIZED_CLOTHING,8,SPECIAL_ONLY,(none),(none),(none),SEXUALIZED_CLOTHING,assless_pants;bikini_aside;bikini_pull;g_string;garter_strap;see-through;see_through;transparent_clothing
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,7,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ANATOMY,convenient_breasts;covering_another's_crotch;hair_over_breasts;hair_over_crotch;hair_over_one_breast;long_breast_curtain;necktie_between_breasts
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,7,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_ACTION,ANATOMY,biting_penis;biting_testicles;bound_breasts;bound_penis;nipple_pull;nipple_torture;squeezing_testicles
OVERLAP|BODY_PART|BODY_STATE|ANATOMY,7,OVERLAP,BODY_PART,BODY_PART,BODY_STATE,ANATOMY,anal_prolapse;bite_mark_on_breast;breast_expansion;breast_freckles;breast_tattoo;mole_on_breast;mole_on_crotch
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,7,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,ANATOMY,breasts_apart;clitoris_peek;face_between_breasts;hanging_breasts;penis_sheath;sagging_breasts;unaligned_breasts
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,7,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,NONE,armpit_hair_peek;midriff;midriff_peek;navel_cutout;navel_peek;tanlines;thigh_cutout
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,6,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),INJURY,bath_of_blood;blood_sucking;drinking_blood;licking_blood;spitting_blood;wiping_blood
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,6,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,lowleg_panties;panties_over_bodysuit;panties_over_garter_belt;panties_under_bodysuit;panties_under_leotard;panties_under_swimsuit
OVERLAP|ACTION_CONTACT|(none)|RESTRAINT_FETISH,6,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),RESTRAINT_FETISH,belt_bondage;hair_bondage;ribbon_bondage;tail_bondage;tape_bondage;vine_bondage
